Team,Stadium,Address,City,State,ZIP,Country,Capacity,Opened,Latitude,Longitude
Arizona Diamondbacks,Chase Field,401 East Jefferson Street,Phoenix,AZ,85004,US," 48,405 ",1998,33.4461581,-112.0679106
Atlanta Braves,Truist Park,755 Battery Avenue,Atlanta,GA,30339,US," 41,084 ",2017,33.89070855,-84.46853422885837
Baltimore Orioles,Oriole Park at Camden Yards,333 West Camden Street,Baltimore,MD,21201,US," 44,970 ",1992,39.28373125,-76.62033445397535
Boston Red Sox,Fenway Park,4 Jersey Street,Boston,MA,2215,US," 37,755 ",1912,42.3464621,-71.0971001033302
Chicago Cubs,Wrigley Field,1060 West Addison,Chicago,IL,60613,US," 41,649 ",1914,41.94818455,-87.65555899980043
Chicago White Sox,Guaranteed Rate Field,333 West 35th Street,Chicago,IL,60616,US," 40,615 ",1991,41.82969195,-87.6337919325
Cincinnati Reds,Great American Ballpark,100 Main Street,Cincinnati,OH,45202,US," 43,500 ",2003,39.101892449999994,-84.5106691884332
Cleveland Guardians,Progressive Field,2401 Ontario Street,Cleveland,OH,44115,US," 34,830 ",1994,41.496090550000005,-81.68513191630367
Colorado Rockies,Coors Field,2001 Blake Street,Denver,CO,80205,US," 50,144 ",1995,39.7560314,-104.99292855531493
Detroit Tigers,Comerica Park,2100 Woodward Avenue,Detroit,MI,48201,US," 41,083 ",2000,42.3332568,-83.06005542312286
Houston Astros,Minute Maid Park,501 Crawford Street,Houston,TX,77002,US," 41,168 ",2000,29.75723205,-95.35523443643919
Kansas City Royals,Kauffman Stadium,One Royal Way,Kansas City,MO,64129,US," 37,903 ",1973,39.0530979,-94.4858827
Los Angeles Angels,Angel Stadium,2000 Gene Autry Way,Anaheim,CA,92806,US," 45,517 ",1966,33.8002599,-117.88174262759796
Los Angeles Dodgers,Dodger Stadium,1000 Vin Scully Avenue,Los Angeles,CA,90012,US," 56,000 ",1962,34.0736263,-118.23897581574036
Miami Marlins,loanDepot park,501 Marlins Way,Miami,FL,33125,US," 36,742 ",2012,25.7781663,-80.2195751
Milwaukee Brewers,American Family Field,One Brewers Way,Milwaukee,WI,53214,US," 41,900 ",2001,43.087164,-87.9568419
Minnesota Twins,Target Field,1 Twins Way,Minneapolis,MN,55403,US," 38,544 ",2010,44.98168445,-93.27786434576453
New York Mets,Citi Field,41 Seaver Way,Flushing,NY,11368,US," 41,922 ",2009,40.757277849999994,-73.84587884942417
New York Yankees,Yankee Stadium,One East 161st Street,Bronx,NY,10451,US," 46,537 ",2009,40.8277271,-73.9256588
Oakland Athletics,Oakland Coliseum,7000 Coliseum Way,Oakland,CA,94621,US," 46,847 ",1966,37.75027335,-122.20293232639798
Philadelphia Phillies,Citizens Bank Park,One Citizens Bank Way,Philadelphia,PA,19148,US," 42,792 ",2004,39.905885749999996,-75.16541101747245
Pittsburgh Pirates,PNC Park,115 Federal Street,Pittsburgh,PA,15212,US," 38,747 ",2001,40.438371599999996,-80.00227709731817
San Diego Padres,Petco Park,100 Park Boulevard,San Diego,CA,92101,US," 39,860 ",2004,32.70718815,-117.15687730689476
San Francisco Giants,Oracle Park,24 Willie Mays Plaza,San Francisco,CA,94107,US," 41,265 ",2000,37.7786119,-122.39026745425639
Seattle Mariners,T-Mobile Park,P.O. Box 4100,Seattle,WA,98104,US," 47,929 ",1999,47.5379389,-122.38560893363028
St. Louis Cardinals,Busch Stadium,700 Clark Street,St. Louis,MO,63102,US," 45,494 ",2006,38.6225538,-90.19392193458768
Tampa Bay Rays,Tropicana Field,One Tropicana Drive,St. Petersburg,FL,33705,US," 25,000 ",1990,27.7680559,-82.65327550461797
Texas Rangers,Globe Life Field,734 Stadium Drive,Arlington,TX,76011,US," 40,300 ",2020,32.74760655,-97.08410630166019
Toronto Blue Jays,Rogers Centre,1 Blue Jays Way,Toronto,Ontario,M5V1J1,Canada," 39,150 ",1989,43.641659849999996,-79.38919761915824
Washington Nationals,Nationals Park,1500 South Capitol Street SE,Washington,DC,20003,US," 41,373 ",2008,38.87274095,-77.00838588569519
