Team,Stadium,Address,City,State,ZIP,Country,Capacity,Opened,Latitude,Longitude,Logo
Arizona Diamondbacks,Chase Field,401 East Jefferson Street,Phoenix,AZ,85004,US,"48,405",1998,33.4461581,-112.0679106,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/diamondbacks.svg
Atlanta Braves,Truist Park,755 Battery Avenue,Atlanta,GA,30339,US,"41,084",2017,33.89070855,-84.46853423,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/braves.svg
Baltimore Orioles,Oriole Park at Camden Yards,333 West Camden Street,Baltimore,MD,21201,US,"44,970",1992,39.28373125,-76.62033445,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/orioles.svg
Boston Red Sox,Fenway Park,4 Jersey Street,Boston,MA,2215,US,"37,755",1912,42.3464621,-71.0971001,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/redsox.svg
Chicago Cubs,Wrigley Field,1060 West Addison,Chicago,IL,60613,US,"41,649",1914,41.94818455,-87.655559,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/cubs.svg
Chicago White Sox,Guaranteed Rate Field,333 West 35th Street,Chicago,IL,60616,US,"40,615",1991,41.82969195,-87.63379193,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/whitesox.svg
Cincinnati Reds,Great American Ballpark,100 Main Street,Cincinnati,OH,45202,US,"43,500",2003,39.10189245,-84.51066919,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/reds.svg
Cleveland Guardians,Progressive Field,2401 Ontario Street,Cleveland,OH,44115,US,"34,830",1994,41.49609055,-81.68513192,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/guardians.svg
Colorado Rockies,Coors Field,2001 Blake Street,Denver,CO,80205,US,"50,144",1995,39.7560314,-104.9929286,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/rockies.svg
Detroit Tigers,Comerica Park,2100 Woodward Avenue,Detroit,MI,48201,US,"41,083",2000,42.3332568,-83.06005542,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/tigers.svg
Houston Astros,Minute Maid Park,501 Crawford Street,Houston,TX,77002,US,"41,168",2000,29.75723205,-95.35523444,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/astros.svg
Kansas City Royals,Kauffman Stadium,One Royal Way,Kansas City,MO,64129,US,"37,903",1973,39.0530979,-94.4858827,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/royals.svg
Los Angeles Angels,Angel Stadium,2000 Gene Autry Way,Anaheim,CA,92806,US,"45,517",1966,33.8002599,-117.8817426,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/angels.svg
Los Angeles Dodgers,Dodger Stadium,1000 Vin Scully Avenue,Los Angeles,CA,90012,US,"56,000",1962,34.0736263,-118.2389758,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/dodgers.svg
Miami Marlins,loanDepot park,501 Marlins Way,Miami,FL,33125,US,"36,742",2012,25.7781663,-80.2195751,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/marlins.svg
Milwaukee Brewers,American Family Field,One Brewers Way,Milwaukee,WI,53214,US,"41,900",2001,43.087164,-87.9568419,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/brewers.svg
Minnesota Twins,Target Field,1 Twins Way,Minneapolis,MN,55403,US,"38,544",2010,44.98168445,-93.27786435,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/twins.svg
New York Mets,Citi Field,41 Seaver Way,Flushing,NY,11368,US,"41,922",2009,40.75727785,-73.84587885,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/mets.svg
New York Yankees,Yankee Stadium,One East 161st Street,Bronx,NY,10451,US,"46,537",2009,40.8277271,-73.9256588,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/yankees.svg
Oakland Athletics,Oakland Coliseum,7000 Coliseum Way,Oakland,CA,94621,US,"46,847",1966,37.75027335,-122.2029323,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/athletics.svg
Philadelphia Phillies,Citizens Bank Park,One Citizens Bank Way,Philadelphia,PA,19148,US,"42,792",2004,39.90588575,-75.16541102,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/phillies.svg
Pittsburgh Pirates,PNC Park,115 Federal Street,Pittsburgh,PA,15212,US,"38,747",2001,40.4383716,-80.0022771,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/pirates.svg
San Diego Padres,Petco Park,100 Park Boulevard,San Diego,CA,92101,US,"39,860",2004,32.70718815,-117.1568773,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/padres.svg
San Francisco Giants,Oracle Park,24 Willie Mays Plaza,San Francisco,CA,94107,US,"41,265",2000,37.7786119,-122.3902675,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/giants.svg
Seattle Mariners,T-Mobile Park,P.O. Box 4100,Seattle,WA,98104,US,"47,929",1999,47.5379389,-122.3856089,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/mariners.svg
St. Louis Cardinals,Busch Stadium,700 Clark Street,St. Louis,MO,63102,US,"45,494",2006,38.6225538,-90.19392193,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/cardinals.svg
Tampa Bay Rays,Tropicana Field,One Tropicana Drive,St. Petersburg,FL,33705,US,"25,000",1990,27.7680559,-82.6532755,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/rays.svg
Texas Rangers,Globe Life Field,734 Stadium Drive,Arlington,TX,76011,US,"40,300",2020,32.74760655,-97.0841063,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/rangers.svg
Toronto Blue Jays,Rogers Centre,1 Blue Jays Way,Toronto,Ontario,M5V1J1,Canada,"39,150",1989,43.64165985,-79.38919762,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/bluejays.svg
Washington Nationals,Nationals Park,1500 South Capitol Street SE,Washington,DC,20003,US,"41,373",2008,38.87274095,-77.00838589,/Users/mitchellhamilton/m-r-ham.github.io/mitchymaps.github.io/projects/mlb-analysis/media/nationals.svg
